# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.006          6.719776e+03 3.073819e+04 -1.196901e-15 6.718928e+03 3.073845e+04 -1.196901e-15 8.485710e-01 -2.576358e-01 9.083680e-23
0.0132         6.762494e+03 3.092864e+04 -1.207012e-15 6.760623e+03 3.092920e+04 -1.207012e-15 1.870650e+00 -5.639113e-01 6.465508e-22
0.02184        6.826522e+03 3.121562e+04 -1.223043e-15 6.823432e+03 3.121655e+04 -1.223044e-15 3.090022e+00 -9.258844e-01 1.233467e-21
0.032208       6.882004e+03 3.146244e+04 -1.240141e-15 6.877477e+03 3.146380e+04 -1.240143e-15 4.527782e+00 -1.356552e+00 1.710103e-21
0.0438483      6.905877e+03 3.156400e+04 -1.254636e-15 6.899780e+03 3.156583e+04 -1.254637e-15 6.097495e+00 -1.836505e+00 1.926669e-21
0.0533615      6.847370e+03 3.129030e+04 -1.255785e-15 6.840039e+03 3.129252e+04 -1.255787e-15 7.331063e+00 -2.219843e+00 1.704043e-21
0.0612865      6.780902e+03 3.098138e+04 -1.255449e-15 6.772581e+03 3.098391e+04 -1.255450e-15 8.321208e+00 -2.527316e+00 1.110668e-21
0.0682593      6.719397e+03 3.069590e+04 -1.255305e-15 6.710235e+03 3.069868e+04 -1.255305e-15 9.162454e+00 -2.784639e+00 3.760515e-22
0.0745734      6.659074e+03 3.041634e+04 -1.254139e-15 6.649176e+03 3.041934e+04 -1.254139e-15 9.897994e+00 -3.004117e+00 -3.680482e-22
0.0803954      6.603725e+03 3.015994e+04 -1.254117e-15 6.593173e+03 3.016314e+04 -1.254116e-15 1.055211e+01 -3.195218e+00 -1.059271e-21
0.085832       6.551992e+03 2.992041e+04 -1.253723e-15 6.540852e+03 2.992377e+04 -1.253722e-15 1.114040e+01 -3.363313e+00 -1.582263e-21
0.0909562      6.500609e+03 2.968275e+04 -1.251503e-15 6.488936e+03 2.968626e+04 -1.251501e-15 1.167281e+01 -3.511076e+00 -1.901946e-21
0.0958208      6.448342e+03 2.944129e+04 -1.248946e-15 6.436184e+03 2.944493e+04 -1.248944e-15 1.215759e+01 -3.638708e+00 -2.101245e-21
0.100465       6.388405e+03 2.916494e+04 -1.244044e-15 6.375803e+03 2.916869e+04 -1.244042e-15 1.260168e+01 -3.747174e+00 -2.220588e-21
0.104921       6.329402e+03 2.889305e+04 -1.237823e-15 6.316391e+03 2.889688e+04 -1.237820e-15 1.301030e+01 -3.839133e+00 -2.279529e-21
