# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.125065       6.014675e+03 2.744544e+04 -1.194472e-15 6.000022e+03 2.744952e+04 -1.194470e-15 1.465329e+01 -4.086099e+00 -2.460693e-21
0.186886       4.605172e+03 2.098421e+04 -1.075375e-15 4.587548e+03 2.098759e+04 -1.075371e-15 1.762387e+01 -3.386561e+00 -3.380735e-21
0.234216       2.959180e+03 1.345784e+04 -1.190574e-15 2.942177e+03 1.346018e+04 -1.190591e-15 1.700371e+01 -2.338290e+00 1.668580e-20
0.27515        1.136905e+03 5.141773e+03 -1.408484e-15 1.124162e+03 5.142932e+03 -1.408556e-15 1.274342e+01 -1.158730e+00 7.154829e-20
0.312389       -8.495232e+02 -3.910706e+03 -1.431263e-15 -8.550402e+02 -3.911727e+03 -1.431389e-15 5.516939e+00 1.020633e+00 1.255206e-19
0.346543       -3.046506e+03 -1.391272e+04 -9.548420e-16 -3.042095e+03 -1.391729e+04 -9.549920e-16 -4.410832e+00 4.572791e+00 1.500477e-19
0.378514       -5.561496e+03 -2.535474e+04 3.340633e-17 -5.544082e+03 -2.536365e+04 3.322984e-17 -1.741320e+01 8.902254e+00 1.764883e-19
0.407536       -8.298173e+03 -3.779531e+04 1.280637e-15 -8.264509e+03 -3.780934e+04 1.280427e-15 -3.366449e+01 1.402588e+01 2.095905e-19
0.434967       -1.136854e+04 -5.173955e+04 2.672740e-15 -1.131399e+04 -5.176042e+04 2.672515e-15 -5.454627e+01 2.087136e+01 2.249922e-19
0.460526       -1.474056e+04 -6.704323e+04 4.085799e-15 -1.466090e+04 -6.707221e+04 4.085597e-15 -7.966403e+01 2.898652e+01 2.023218e-19
0.484558       -1.850034e+04 -8.410329e+04 5.470244e-15 -1.839185e+04 -8.414094e+04 5.470112e-15 -1.084898e+02 3.765110e+01 1.319493e-19
0.507419       -2.256436e+04 -1.025414e+05 6.771490e-15 -2.242398e+04 -1.025875e+05 6.771478e-15 -1.403878e+02 4.609801e+01 1.147858e-20
0.529174       -2.702229e+04 -1.227714e+05 8.029295e-15 -2.684777e+04 -1.228260e+05 8.029446e-15 -1.745166e+02 5.461673e+01 -1.518774e-19
0.549915       -3.182380e+04 -1.445667e+05 9.190728e-15 -3.161365e+04 -1.446294e+05 9.191078e-15 -2.101477e+02 6.272592e+01 -3.501684e-19
0.569825       -3.692098e+04 -1.677121e+05 1.027411e-14 -3.667449e+04 -1.677823e+05 1.027467e-14 -2.464931e+02 7.014806e+01 -5.638991e-19
0.589048       -4.232065e+04 -1.922422e+05 1.130942e-14 -4.203789e+04 -1.923193e+05 1.131020e-14 -2.827637e+02 7.711022e+01 -7.793459e-19
0.607693       -4.788470e+04 -2.175292e+05 1.228638e-14 -4.756656e+04 -2.176125e+05 1.228738e-14 -3.181324e+02 8.326935e+01 -9.960562e-19
0.625845       -5.345784e+04 -2.428626e+05 1.321322e-14 -5.310534e+04 -2.429518e+05 1.321444e-14 -3.525065e+02 8.920649e+01 -1.220233e-18
0.64357        -5.867282e+04 -2.665640e+05 1.401828e-14 -5.828713e+04 -2.666580e+05 1.401972e-14 -3.856934e+02 9.402323e+01 -1.446155e-18
0.660923       -6.346384e+04 -2.883324e+05 1.470186e-14 -6.304616e+04 -2.884302e+05 1.470353e-14 -4.176724e+02 9.773036e+01 -1.665433e-18
0.677941       -6.725652e+04 -3.055393e+05 1.517481e-14 -6.680778e+04 -3.056392e+05 1.517670e-14 -4.487347e+02 9.993404e+01 -1.885664e-18
0.694645       -6.941814e+04 -3.152827e+05 1.532384e-14 -6.893752e+04 -3.153825e+05 1.532589e-14 -4.806246e+02 9.979210e+01 -2.052434e-18
0.711043       -6.746859e+04 -3.061958e+05 1.459555e-14 -6.694924e+04 -3.062864e+05 1.459762e-14 -5.193477e+02 9.050497e+01 -2.069744e-18
0.727129       -4.469715e+04 -2.015927e+05 9.799577e-15 -4.407699e+04 -2.016480e+05 9.800819e-15 -6.201623e+02 5.529178e+01 -1.242320e-18
