# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.006          -5.569552e-15 7.366762e-14 1.856215e+06 -5.569552e-15 7.366763e-14 1.856235e+06 3.428073e-22 -5.956343e-21 -1.981002e+01
0.0132         -5.616299e-15 7.429127e-14 1.867760e+06 -5.616302e-15 7.429131e-14 1.867803e+06 2.873426e-21 -4.041272e-20 -4.341906e+01
0.02184        -5.690351e-15 7.528047e-14 1.885170e+06 -5.690357e-15 7.528055e-14 1.885242e+06 5.535809e-21 -7.685100e-20 -7.136776e+01
0.032208       -5.769195e-15 7.633613e-14 1.900190e+06 -5.769202e-15 7.633624e-14 1.900294e+06 7.667533e-21 -1.065817e-19 -1.045507e+02
0.0438483      -5.835676e-15 7.723267e-14 1.906486e+06 -5.835684e-15 7.723279e-14 1.906628e+06 8.582427e-21 -1.203358e-19 -1.413666e+02
0.0533615      -5.840036e-15 7.730793e-14 1.890135e+06 -5.840044e-15 7.730803e-14 1.890306e+06 7.468278e-21 -1.069913e-19 -1.706709e+02
0.0612865      -5.837538e-15 7.729154e-14 1.871656e+06 -5.837542e-15 7.729161e-14 1.871850e+06 4.634127e-21 -7.080382e-20 -1.941762e+02
0.0682593      -5.835952e-15 7.728683e-14 1.854587e+06 -5.835953e-15 7.728685e-14 1.854801e+06 1.151643e-21 -2.588235e-20 -2.139049e+02
0.0745734      -5.829641e-15 7.721916e-14 1.837865e+06 -5.829639e-15 7.721914e-14 1.838096e+06 -2.363870e-21 1.967355e-20 -2.308154e+02
0.0803954      -5.828746e-15 7.722139e-14 1.822536e+06 -5.828740e-15 7.722133e-14 1.822782e+06 -5.622488e-21 6.202455e-20 -2.456022e+02
0.085832       -5.826070e-15 7.720105e-14 1.808224e+06 -5.826062e-15 7.720095e-14 1.808482e+06 -8.081738e-21 9.409687e-20 -2.586680e+02
0.0909562      -5.814713e-15 7.706910e-14 1.794030e+06 -5.814703e-15 7.706899e-14 1.794301e+06 -9.578309e-21 1.137318e-19 -2.702245e+02
0.0958208      -5.801774e-15 7.691646e-14 1.779602e+06 -5.801764e-15 7.691633e-14 1.779882e+06 -1.050755e-20 1.259899e-19 -2.803222e+02
0.100465       -5.777867e-15 7.661976e-14 1.763064e+06 -5.777856e-15 7.661963e-14 1.763353e+06 -1.106091e-20 1.333444e-19 -2.890532e+02
0.104921       -5.747757e-15 7.624215e-14 1.746787e+06 -5.747745e-15 7.624202e-14 1.747084e+06 -1.133099e-20 1.369913e-19 -2.966051e+02
0.109211       -5.714259e-15 7.582067e-14 1.730567e+06 -5.714247e-15 7.582053e-14 1.730870e+06 -1.143853e-20 1.384966e-19 -3.030354e+02
0.113356       -5.673941e-15 7.531058e-14 1.712535e+06 -5.673930e-15 7.531044e-14 1.712844e+06 -1.155236e-20 1.400543e-19 -3.084483e+02
0.117371       -5.630858e-15 7.476463e-14 1.694772e+06 -5.630846e-15 7.476449e-14 1.695085e+06 -1.173331e-20 1.424588e-19 -3.129299e+02
0.12127        -5.587750e-15 7.421952e-14 1.678153e+06 -5.587739e-15 7.421937e-14 1.678469e+06 -1.193213e-20 1.450736e-19 -3.165809e+02
0.125065       -5.539348e-15 7.360460e-14 1.660062e+06 -5.539336e-15 7.360445e-14 1.660381e+06 -1.216983e-20 1.481608e-19 -3.194335e+02
0.128764       -5.492727e-15 7.301462e-14 1.642773e+06 -5.492714e-15 7.301447e-14 1.643094e+06 -1.247270e-20 1.520935e-19 -3.215822e+02
0.132376       -5.443138e-15 7.238586e-14 1.624677e+06 -5.443125e-15 7.238570e-14 1.625000e+06 -1.283718e-20 1.568301e-19 -3.230830e+02
0.135908       -5.393540e-15 7.175702e-14 1.606660e+06 -5.393527e-15 7.175685e-14 1.606984e+06 -1.329662e-20 1.628115e-19 -3.240027e+02
0.139367       -5.340976e-15 7.108858e-14 1.587772e+06 -5.340962e-15 7.108841e-14 1.588097e+06 -1.384308e-20 1.699335e-19 -3.243829e+02
0.142757       -5.290947e-15 7.045414e-14 1.569006e+06 -5.290932e-15 7.045396e-14 1.569330e+06 -1.447287e-20 1.781485e-19 -3.242689e+02
0.146085       -5.242271e-15 6.983779e-14 1.550386e+06 -5.242256e-15 6.983760e-14 1.550709e+06 -1.517524e-20 1.873162e-19 -3.237011e+02
0.149349       -5.189734e-15 6.917072e-14 1.530368e+06 -5.189718e-15 6.917052e-14 1.530690e+06 -1.592733e-20 1.971388e-19 -3.227110e+02
