# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.125065       -5.539348e-15 7.360460e-14 1.660062e+06 -5.539336e-15 7.360445e-14 1.660381e+06 -1.216983e-20 1.481608e-19 -3.194335e+02
0.186886       -4.960601e-15 6.638661e-14 1.272482e+06 -4.960585e-15 6.638640e-14 1.272773e+06 -1.635864e-20 2.052110e-19 -2.903302e+02
0.234216       -5.487053e-15 7.352095e-14 8.203576e+05 -5.487132e-15 7.352197e-14 8.205803e+05 7.889374e-20 -1.021271e-18 -2.227253e+02
0.27515        -6.501030e-15 8.693310e-14 3.204223e+05 -6.501366e-15 8.693749e-14 3.205519e+05 3.366660e-19 -4.386635e-18 -1.295595e+02
0.312389       -6.605244e-15 8.834330e-14 -2.242441e+05 -6.605833e-15 8.835100e-14 -2.242834e+05 5.889974e-19 -7.703152e-18 3.925050e+01
0.346543       -4.373524e-15 5.908786e-14 -8.266776e+05 -4.374225e-15 5.909708e-14 -8.269829e+05 7.008585e-19 -9.223151e-18 3.053085e+02
0.378514       2.439071e-16 -1.651431e-15 -1.516752e+06 2.430896e-16 -1.640551e-15 -1.517386e+06 8.174892e-19 -1.087984e-17 6.338606e+02
0.407536       6.059248e-15 -7.836371e-14 -2.267796e+06 6.058284e-15 -7.835075e-14 -2.268822e+06 9.635794e-19 -1.295358e-17 1.026439e+03
0.434967       1.253640e-14 -1.640491e-13 -3.110504e+06 1.253537e-14 -1.640352e-13 -3.112051e+06 1.028194e-18 -1.393381e-17 1.546636e+03
0.460526       1.909642e-14 -2.510914e-13 -4.036357e+06 1.909550e-14 -2.510788e-13 -4.038521e+06 9.200474e-19 -1.255062e-17 2.164853e+03
0.484558       2.550966e-14 -3.364348e-13 -5.069464e+06 2.550906e-14 -3.364266e-13 -5.072299e+06 5.961514e-19 -8.202958e-18 2.834388e+03
0.507419       3.152543e-14 -4.167045e-13 -6.186906e+06 3.152539e-14 -4.167038e-13 -6.190411e+06 4.527803e-20 -7.437094e-19 3.504912e+03
0.529174       3.733161e-14 -4.943347e-13 -7.413842e+06 3.733231e-14 -4.943441e-13 -7.418032e+06 -6.998667e-19 9.379255e-18 4.190116e+03
0.549915       4.268392e-14 -5.660582e-13 -8.736534e+06 4.268552e-14 -5.660798e-13 -8.741391e+06 -1.603976e-18 2.166889e-17 4.856987e+03
0.569825       4.767139e-14 -6.329851e-13 -1.014188e+07 4.767397e-14 -6.330201e-13 -1.014736e+07 -2.577492e-18 3.491997e-17 5.484722e+03
0.589048       5.243310e-14 -6.969631e-13 -1.163184e+07 5.243666e-14 -6.970114e-13 -1.163793e+07 -3.557780e-18 4.828223e-17 6.083496e+03
0.607693       5.692322e-14 -7.573497e-13 -1.316825e+07 5.692777e-14 -7.574114e-13 -1.317488e+07 -4.545624e-18 6.171458e-17 6.628073e+03
0.625845       6.118056e-14 -8.146491e-13 -1.470789e+07 6.118613e-14 -8.147247e-13 -1.471505e+07 -5.571394e-18 7.559192e-17 7.153685e+03
0.64357        6.487523e-14 -8.644351e-13 -1.614873e+07 6.488184e-14 -8.645247e-13 -1.615634e+07 -6.609668e-18 8.955664e-17 7.604103e+03
0.660923       6.800849e-14 -9.067269e-13 -1.747235e+07 6.801611e-14 -9.068300e-13 -1.748033e+07 -7.619768e-18 1.030998e-16 7.979884e+03
0.677941       7.016923e-14 -9.360194e-13 -1.851918e+07 7.017786e-14 -9.361361e-13 -1.852744e+07 -8.636350e-18 1.166924e-16 8.258041e+03
0.694645       7.083605e-14 -9.453135e-13 -1.911309e+07 7.084546e-14 -9.454405e-13 -1.912149e+07 -9.411127e-18 1.269626e-16 8.393922e+03
0.711043       6.746031e-14 -9.004285e-13 -1.856393e+07 6.746982e-14 -9.005565e-13 -1.857193e+07 -9.512232e-18 1.279340e-16 7.992419e+03
0.727129       4.527982e-14 -6.046174e-13 -1.221853e+07 4.528559e-14 -6.046939e-13 -1.222480e+07 -5.771538e-18 7.650590e-17 6.263742e+03
0.74191        1.243463e-14 -1.681201e-13 -3.909569e+06 1.243539e-14 -1.681278e-13 -3.914872e+06 -7.577651e-19 7.664966e-18 5.303187e+03
0.751243       6.825100e-15 -9.276213e-14 -1.154718e+06 6.807598e-15 -9.251847e-14 -1.162805e+06 1.750244e-17 -2.436579e-16 8.086779e+03
